id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
1,34, Private,617917, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,1887,40, United-States
2,63, Private,85420, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,10, United-States
3,24, Private,118792, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,12, United-States
4,26, State-gov,68346, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,10, ?
5,22, Private,221694, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,60, United-States
6,22, Private,152328, Some-college,10, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States
7,44, Local-gov,141186, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,8614,0,35, United-States
8,60, ?,155977, Some-college,10, Widowed, ?, Unmarried, Black, Female,0,0,54, United-States
9,72, Self-emp-not-inc,47203, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,4931,0,70, United-States
10,39, Self-emp-not-inc,107302, Bachelors,13, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,35, United-States
11,53, Local-gov,130730, HS-grad,9, Divorced, Adm-clerical, Other-relative, White, Female,0,0,35, United-States
12,29, Private,62345, HS-grad,9, Married-civ-spouse, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,40, ?
13,48, Self-emp-not-inc,56841, Some-college,10, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States
14,28, State-gov,198201, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, United-States
15,33, Private,205950, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
16,59, Private,142326, Assoc-voc,11, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
17,38, Self-emp-inc,312232, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States
18,41, Private,165304, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Greece
19,56, Private,243076, Some-college,10, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States
20,41, Private,116391, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
21,30, Local-gov,31171, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,1590,40, United-States
22,22, Private,117789, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States
